,place_city,place_region,place_city_en,place_region_area,place_region_pop_2018,place_region_pop_2018_density,place_region_area_perc,place_region_vrp_2016,place_region_pop_2017,place_region_pop_2016,place_region_pop_diff_2017_2016,place_region_pop_diff_n_2017_2016,place_region_pop_diff_m_2017_2016,place_region_wage_2016,place_region_wage_2017,place_region_wage_2018,place_region_wage_diff_2018_2017,place_region_wage_diff_2017_2016,place_is_region_capital,place_region_pop_2017_density,place_region_pop_2016_density,place_region_pop_diff_2018_2017,place_city_lat,place_city_lon
737,Березовка,Красноярский край,BEREZOVKA,2366797.0,2876497.0,1.2,13.821,1767.9,2875301.0,2866490.0,8811.0,3983.0,4828.0,35423.9,37056.3,40617.2,3560.9,1632.4,0,1.2,1.2,1196.0,55.687668,90.286591
738,Берёзовский,Свердловская область,BEREZOVSKIY,194307.0,4325256.0,22.3,1.135,1978.1,4329341.0,4330006.0,-665.0,-991.0,326.0,29961.9,32256.5,33809.4,1552.9,2294.6,0,22.3,22.3,-4085.0,56.90979,60.812012
739,Бирск,Республика Башкортостан,BIRSK,142947.0,4063293.0,28.4,0.835,1344.4,4066972.0,4071064.0,-4092.0,3298.0,-7390.0,24921.8,26899.8,30190.2,3290.4,1978.0,0,28.5,28.5,-3679.0,55.420677,55.540718
740,Богородицк,Тульская область,BOGORODITSK,25679.0,1491855.0,58.1,0.15,517.7,1499417.0,1506446.0,-7029.0,-10251.0,3222.0,26723.7,28564.2,31840.0,3275.8,1840.5,0,58.4,58.7,-7562.0,53.773571,38.126965
741,Богородск,Нижегородская область,BOGORODSK,76624.0,3234752.0,42.2,0.447,1182.3,3247713.0,3260267.0,-12554.0,-11420.0,-1134.0,24958.7,26727.2,28980.1,2252.9,1768.5,0,42.4,42.5,-12961.0,56.103416,43.516819
742,Богородск,Нижегородская область,BOGORODSK G,76624.0,3234752.0,42.2,0.447,1182.3,3247713.0,3260267.0,-12554.0,-11420.0,-1134.0,24958.7,26727.2,28980.1,2252.9,1768.5,0,42.4,42.5,-12961.0,56.103416,43.516819
743,Богучар,Воронежская область,BOGUCHAR,52216.0,2333768.0,44.7,0.305,841.4,2335408.0,2333477.0,1931.0,-10615.0,12546.0,23704.3,25336.9,27971.3,2634.4,1632.6,0,44.7,44.7,-1640.0,49.93245,40.554475
744,Болотное,Новосибирская область,BOLOTNOE,177756.0,2788849.0,15.7,1.038,1084.6,2779555.0,2762237.0,17318.0,2034.0,15284.0,26602.7,30165.0,32862.9,2697.9,3562.3,0,15.6,15.5,9294.0,55.671566,84.38855
745,Болотное,Новосибирская область,BOLOTNOE G,177756.0,2788849.0,15.7,1.038,1084.6,2779555.0,2762237.0,17318.0,2034.0,15284.0,26602.7,30165.0,32862.9,2697.9,3562.3,0,15.6,15.5,9294.0,55.671566,84.38855
746,Болхов,Орловская область,BOLHOV,24652.0,747247.0,30.3,0.144,213.9,754816.0,759721.0,-4905.0,-4174.0,-731.0,20270.4,22171.9,24413.1,2241.2,1901.5,0,30.6,30.8,-7569.0,53.448994,36.002232
